country,isocode,year,gdp
Afghanistan,AFG,2000,427.41159801
Afghanistan,AFG,2001,406.17028745
Afghanistan,AFG,2002,614.79428917
Afghanistan,AFG,2003,703.85687546
Afghanistan,AFG,2004,696.60119982
Afghanistan,AFG,2005,775.73406402
Afghanistan,AFG,2006,799.44551245
Afghanistan,AFG,2007,894.20756456
Afghanistan,AFG,2008,894.03717506
Afghanistan,AFG,2009,1018.1215108
Afghanistan,AFG,2010,1049.3561327
Albania,ALB,2000,3416.4155775
Albania,ALB,2001,3526.9366307
Albania,ALB,2002,3628.6563604
Albania,ALB,2003,4064.4126869
Albania,ALB,2004,4559.6710265
Albania,ALB,2005,4938.8053472
Albania,ALB,2006,5397.9722021
Albania,ALB,2007,5902.0533877
Albania,ALB,2008,6606.3197824
Albania,ALB,2009,6789.507472
Albania,ALB,2010,6616.6311368
Algeria,DZA,2000,4990.6918708
Algeria,DZA,2001,5066.0979606
Algeria,DZA,2002,5253.0065625
Algeria,DZA,2003,5552.0843277
Algeria,DZA,2004,5762.4742831
Algeria,DZA,2005,5988.778111
Algeria,DZA,2006,6003.4077298
Algeria,DZA,2007,6109.9586621
Algeria,DZA,2008,6178.5892853
Algeria,DZA,2009,6179.0461007
Algeria,DZA,2010,6260.2076956
Angola,AGO,2000,2331.8187469
Angola,AGO,2001,2191.4481917
Angola,AGO,2002,2485.7308983
Angola,AGO,2003,2458.1573151
Angola,AGO,2004,2598.9291038
Angola,AGO,2005,3055.026874
Angola,AGO,2006,3598.6463605
Angola,AGO,2007,4465.243661
Angola,AGO,2008,4965.3360293
Angola,AGO,2009,5166.6961359
Angola,AGO,2010,5108.1901714
Antigua and Barbuda,ATG,2000,13899.350729
Antigua and Barbuda,ATG,2001,14118.635187
Antigua and Barbuda,ATG,2002,14768.15562
Antigua and Barbuda,ATG,2003,14217.781474
Antigua and Barbuda,ATG,2004,14955.639216
Antigua and Barbuda,ATG,2005,15007.772469
Antigua and Barbuda,ATG,2006,16044.352592
Antigua and Barbuda,ATG,2007,17671.223239
Antigua and Barbuda,ATG,2008,16789.6058
Antigua and Barbuda,ATG,2009,15211.898043
Antigua and Barbuda,ATG,2010,14472.069315
Argentina,ARG,2000,8901.7558981
Argentina,ARG,2001,8552.1403223
Argentina,ARG,2002,7915.6655719
Argentina,ARG,2003,8441.5893181
Argentina,ARG,2004,8977.0806232
Argentina,ARG,2005,9670.7097711
Argentina,ARG,2006,10321.747302
Argentina,ARG,2007,11001.484181
Argentina,ARG,2008,11480.311874
Argentina,ARG,2009,11590.130731
Argentina,ARG,2010,12337.59335
Armenia,ARM,2000,2518.3000102
Armenia,ARM,2001,2837.3029308
Armenia,ARM,2002,3185.6634693
Armenia,ARM,2003,3481.5886469
Armenia,ARM,2004,3939.8695895
Armenia,ARM,2005,4452.0563096
Armenia,ARM,2006,4969.2976359
Armenia,ARM,2007,5495.9993439
Armenia,ARM,2008,5627.7272999
Armenia,ARM,2009,5246.8050416
Armenia,ARM,2010,5411.6120268
Australia,AUS,2000,34086.447724
Australia,AUS,2001,34948.564063
Australia,AUS,2002,35820.034743
Australia,AUS,2003,36964.395624
Australia,AUS,2004,37653.778919
Australia,AUS,2005,38383.842182
Australia,AUS,2006,39281.345147
Australia,AUS,2007,40287.276406
Australia,AUS,2008,40387.130132
Australia,AUS,2009,40814.645672
Australia,AUS,2010,41107.48518
Austria,AUT,2000,33625.001359
Austria,AUT,2001,33838.958103
Austria,AUT,2002,34266.470244
Austria,AUT,2003,34558.424204
Austria,AUT,2004,35231.651445
Austria,AUT,2005,36150.994517
Austria,AUT,2006,37348.433905
Austria,AUT,2007,38761.100366
Austria,AUT,2008,39329.920394
Austria,AUT,2009,37634.091423
Austria,AUT,2010,38585.630349
Azerbaijan,AZE,2000,2525.2621621
Azerbaijan,AZE,2001,2772.4300938
Azerbaijan,AZE,2002,3019.7234714
Azerbaijan,AZE,2003,3379.2969237
Azerbaijan,AZE,2004,3792.3837022
Azerbaijan,AZE,2005,4659.0012808
Azerbaijan,AZE,2006,5979.1502676
Azerbaijan,AZE,2007,7342.4946728
Azerbaijan,AZE,2008,8064.9395229
Azerbaijan,AZE,2009,8831.2036059
Azerbaijan,AZE,2010,9478.9994337
Bahamas,BHS,2000,31351.022154
Bahamas,BHS,2001,31683.991781
Bahamas,BHS,2002,32079.883066
Bahamas,BHS,2003,31407.469114
Bahamas,BHS,2004,31412.989811
Bahamas,BHS,2005,32374.296201
Bahamas,BHS,2006,33197.494206
Bahamas,BHS,2007,33317.433387
Bahamas,BHS,2008,32265.740857
Bahamas,BHS,2009,30213.931704
Bahamas,BHS,2010,30113.746968
Bahrain,BHR,2000,20786.330803
Bahrain,BHR,2001,20820.932997
Bahrain,BHR,2002,22003.969929
Bahrain,BHR,2003,21770.039534
Bahrain,BHR,2004,22022.30149
Bahrain,BHR,2005,22013.142255
Bahrain,BHR,2006,22836.85641
Bahrain,BHR,2007,23996.683265
Bahrain,BHR,2008,24560.306616
Bahrain,BHR,2009,23151.670309
Bahrain,BHR,2010,23096.511678
Bangladesh,BGD,2000,907.50287308
Bangladesh,BGD,2001,935.91727119
Bangladesh,BGD,2002,1000.8635634
Bangladesh,BGD,2003,1028.9200204
Bangladesh,BGD,2004,1059.0158128
Bangladesh,BGD,2005,1085.5311877
Bangladesh,BGD,2006,1128.6283285
Bangladesh,BGD,2007,1169.3463156
Bangladesh,BGD,2008,1231.2434606
Bangladesh,BGD,2009,1296.4181036
Bangladesh,BGD,2010,1370.9790796
Barbados,BRB,2000,28215.125807
Barbados,BRB,2001,27134.016972
Barbados,BRB,2002,26309.021309
Barbados,BRB,2003,26350.225105
Barbados,BRB,2004,28211.611849
Barbados,BRB,2005,28575.046313
Barbados,BRB,2006,28942.213384
Barbados,BRB,2007,29964.070679
Barbados,BRB,2008,30120.424675
Barbados,BRB,2009,28009.025448
Barbados,BRB,2010,28112.245293
Belarus,BLR,2000,6153.3445437
Belarus,BLR,2001,6824.0337871
Belarus,BLR,2002,7280.8544056
Belarus,BLR,2003,7685.3647654
Belarus,BLR,2004,8216.1239879
Belarus,BLR,2005,9177.0940526
Belarus,BLR,2006,9795.8679055
Belarus,BLR,2007,10876.291605
Belarus,BLR,2008,12070.82104
Belarus,BLR,2009,12403.249284
Belarus,BLR,2010,13504.33473
Belgium,BEL,2000,31678.43395
Belgium,BEL,2001,31757.531857
Belgium,BEL,2002,32002.030844
Belgium,BEL,2003,32192.288568
Belgium,BEL,2004,33281.073969
Belgium,BEL,2005,33892.679153
Belgium,BEL,2006,34822.053333
Belgium,BEL,2007,35871.433167
Belgium,BEL,2008,36172.729483
Belgium,BEL,2009,34825.331707
Belgium,BEL,2010,35558.523643
Belize,BLZ,2000,7754.0691818
Belize,BLZ,2001,7909.6565572
Belize,BLZ,2002,8481.4336823
